Date,Sum_Total_Sales,Type
1/1/2013,20322683.64,Existing
1/1/2014,22544458.38,Existing
1/1/2015,20088529.29,Existing
10/1/2012,21203562.52,Existing
10/1/2013,19296578.09,Existing
10/1/2014,19497571.95,Existing
10/1/2015,20359980.58,Existing
11/1/2012,21736158.96,Existing
11/1/2013,20489773.49,Existing
11/1/2014,19444753.17,Existing
11/1/2015,21936906.81,Existing
12/1/2012,21962976.75,Existing
12/1/2013,21715706.67,Existing
12/1/2014,19240384.75,Existing
12/1/2015,20462899.3,Existing
2/1/2013,19829620.75,Existing
2/1/2014,21262413.12,Existing
2/1/2015,19772333.34,Existing
3/1/2012,25151525.84,Existing
3/1/2013,22717069.85,Existing
3/1/2014,23247168.62,Existing
3/1/2015,24608406.71,Existing
4/1/2012,24406048.39,Existing
4/1/2013,21625385.04,Existing
4/1/2014,22541987.92,Existing
4/1/2015,21559729.45,Existing
5/1/2012,28249539.01,Existing
5/1/2013,23000152.4,Existing
5/1/2014,25943046.75,Existing
5/1/2015,25792074.59,Existing
6/1/2012,28691364.32,Existing
6/1/2013,24755406.2,Existing
6/1/2014,24782178.43,Existing
6/1/2015,27212464.15,Existing
7/1/2012,28535707.45,Existing
7/1/2013,26803105.56,Existing
7/1/2014,24263117.59,Existing
7/1/2015,26338477.15,Existing
8/1/2012,25793520.64,Existing
8/1/2013,22600217.01,Existing
8/1/2014,21879988.86,Existing
8/1/2015,23130626.6,Existing
9/1/2012,21915641.66,Existing
9/1/2013,21401265.74,Existing
9/1/2014,18407263.58,Existing
9/1/2015,20774415.93,Existing
1/1/2016,21829060.03,Forecast Existing
2/1/2016,21146329.63,Forecast Existing
3/1/2016,23735686.94,Forecast Existing
4/1/2016,22409515.28,Forecast Existing
5/1/2016,25621828.73,Forecast Existing
6/1/2016,26307858.04,Forecast Existing
7/1/2016,26705092.56,Forecast Existing
8/1/2016,23440761.33,Forecast Existing
9/1/2016,20640047.32,Forecast Existing
10/1/2016,20086270.46,Forecast Existing
11/1/2016,20858119.96,Forecast Existing
12/1/2016,21255190.24,Forecast Existing
1/1/2016,3544024.569,Forecast New
2/1/2016,3317210.558,Forecast New
3/1/2016,3081737.953,Forecast New
4/1/2016,3107629.54,Forecast New
5/1/2016,3430205.763,Forecast New
6/1/2016,3148614.012,Forecast New
7/1/2016,3132782.752,Forecast New
8/1/2016,3099739.597,Forecast New
9/1/2016,3532822.166,Forecast New
10/1/2016,3274602.835,Forecast New
11/1/2016,3057921.481,Forecast New
12/1/2016,3217559.383,Forecast New
